Year,Category,Type,Sales,Profit,Expenses
2000,Electronics,High-End,10210,2550,755
2001,Clothing,Standard,11930,2330,827
2002,Electronics,Mid-Range,11057,2423,784
2003,Clothing,Standard,13053,2227,809
2004,Electronics,High-End,12105,2635,737
2005,Clothing,Standard,11155,2715,797
2006,Electronics,Mid-Range,14058,2523,818
2007,Clothing,Standard,12205,2323,757
2008,Electronics,High-End,10308,2653,808
2009,Clothing,Standard,13108,2423,777
2010,Electronics,Mid-Range,11158,2525,828
2011,Clothing,Standard,10203,2335,787
2012,Electronics,High-End,14203,2723,747
2013,Clothing,Standard,12107,2623,797
2014,Electronics,Mid-Range,11253,2443,817
2015,Clothing,Standard,13205,2523,777
2016,Electronics,High-End,12308,2323,808
2017,Clothing,Standard,11353,2727,727
2018,Electronics,Mid-Range,14257,2445,827
2019,Clothing,Standard,12203,2627,787
2020,Electronics,High-End,10402,2527,757
2021,Clothing,Standard,13157,2327,817
2022,Electronics,Mid-Range,11207,2725,797
2023,Clothing,Standard,10258,2427,767
2024,Electronics,High-End,14402,2527,807
2025,Clothing,Standard,12307,2627,767
2026,Electronics,Mid-Range,11358,2343,827
2027,Clothing,Standard,13302,2727,757
2028,Electronics,High-End,12403,2527,797
